period,delegator,panics
169,stride19dhkhmmw9t0zdpcnt5jc0d8nyed5zfqvrfl77z,true
173,stride15ggh9jsvsglknlrt7tq0udc5ae794cuhktya7l,true
256,stride1nxv7z7ajp5he48taelmqavzpue4ff8uyq4fut2,true
323,stride1tlz6ksce084ndhwlq2usghamvh0dut9qkhw52g,true
333,stride1crkxyzva5mwvszan0aw9f2ldywx4j22xjmn0ee,true
335,stride18shuuh3ks5yy9z50csjdadz4k5j6xvwyxwnght,true
355,stride19tlsylyuy6ke9gzz66jam70kx4kmrpp5e529a2,true
357,stride1udawlntgfjmd43gtggsq8rvf4q3pcvxm648sd2,true
374,stride1ph3v5taxm86aq5v7yqpftmr3sgjss0fdxwzymv,true
381,stride1hw4j9h7st0dd0c9l4yr0faavd9p05utx0vz38l,true
403,stride1lf7t444w258jxyz7a84km8ev7z34vel4u4whvu,true
417,stride1h3hjqxpd2wz2w0v7tjve2jdfjtgpthutvxj978,true
440,stride1zhwy4a44jal3jqsg7exeq79q75m0trfeusq9ka,true
544,stride1av9ddswdj4hzmuffr67hjrclk4cj2d2q2znryr,true
551,stride1sxlej4yns44hpn08z9l3hayjd6xpcvcuadt7vh,true
580,stride1wdyylacmpk8tl0mvw5j933cs87cku2c3fahn07,true
612,stride1yhvhjgqzfqhw20f2t3fe5rhmcs2rmm6hzx30p5,true
633,stride1yt6pkw70sk3rfzt6fft2vdhh0nvvpwmzylnk42,true
710,stride1vfc4zvfymmlqm3tlwv5x0cmt89skjy766l2745,true
905,stride1hs3axpgtkkzcjtc9u30qd49zq8rtp0wzdrzayg,true
922,stride1m0jtee5d2ssam8rlf0vpcqen428tk7wt2u0zyp,true
950,stride1ap2jpd83vz9xx6qen8azrnsau29d6glq9qnks3,true
994,stride14legqxqt7kuhhn4we9zyechppnu6pc7djgvp9v,true
1037,stride1y5z28yqy6ka4ernr9282r7c4xm2c27exumzyr8,true
1131,stride1ytt4z085fwxwnj0xdckk43ek4c9znuy0vngtlv,true
1255,stride1q73ak9um7recnffkmwklfcwkhpxancuu90j0y3,true
1457,stride142f9620u2rxmpxm7wv8as2vsqu0qlaq9gz6gaw,true
1569,stride1qaatnlsh0tzq2aa4haj2fd9daekkzuqfwqhqw7,true
1613,stride16dqm6mthxhrzpu4x8wty03dqmkx82sp9as4ekc,true
1649,stride1ladunu5q38nz0tnur0vs7ml2vnddss3vlncj80,true
1741,stride1tff687mc8qkhyayl3xk9trplqkhkf274rvdqum,true
1742,stride1sc36wz6xx84sjnn4tau2854cygeyf3ug9ppn4l,true
1743,stride1rfgjlsy5f8r7vy40tnyd6x578wqfvvudvzj6zr,true
1744,stride1fyp0lzq9l6rc85cu2udaaj3mda7up4zhshknj7,true
1745,stride1uy50z3zuywnwszzj0tm46nzaa8q02zvgws2tzl,true
1746,stride1zwlutvq3veqzjf8vewhe0k8t7jj7d3hdhd7deg,true
1747,stride10t9pmgzj2te2wemsuk7cld7rjlplcmmeq7z0c0,true
1748,stride1xcxu29mdf06u734d6qkryzrp798d2fm0wfaza2,true
1749,stride1h5gwan2glf6t8emd023u4ej9hz929lf0l79dgq,true
1750,stride18ntfznfg62dyhl5wsh6zvc7acq2c57hyqnrpmf,true
1751,stride1urz8xs7zfztx8088jn67aq4l8z4t6p5z32pccc,true
1752,stride1eafs0ps2mduqp4d764vtudcrk5e39d5uq7snky,true
1753,stride1hxdlhtnrtah6hxj7x2qrxucrx45k3z2dr22gav,true
1754,stride1du2zttzqrzty9ykv5vu6gps8kn58rkd4kemx85,true
1755,stride19gw0twaee29007kxdu2zfzvn4ut4cvwtqp787h,true
1756,stride1utsuul520y222vtn40alqlvhlfzxrlex5wgxyj,true
1757,stride1g4nv8uhwcy8szfaseyvqd4xa38xv73z348fld5,true
1758,stride1rqzq7key9nr4lmqqsywv8r873jltt658afar66,true
1759,stride1nxuez0xsftu57p554kw8dgddlwz2rxcx8sfz3h,true
1760,stride12qlf374xswuz8c7uuskfvunqnn9sqqs9tp7pkg,true
